         0,    1048576 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
     65536,    1114112 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    131072,    1179648 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    196608,    1245184 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    262144,    1310720 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    327680,    1376256 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    393216,    1441792 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    458752,    1507328 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    524288,    1572864 |          0,          0, [0] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    589824,    1638400 |          0,     524288, [1] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    655360,    1703936 |      65536,     589824, [1] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    720896,    1769472 |     131072,     655360, [1] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    786432,    1835008 |     196608,     720896, [1] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    851968,    1900544 |     262144,     786432, [1] |          0,          0, [0] |          0,          0, [0] |          0,          0, [0]
    917504,    1966080 |     327680,     851968, [1] |          0,     262144, [1] |          0,          0, [0] |          0,          0, [0]
    983040,    2031616 |     393216,     917504, [1] |      65536,     327680, [1] |          0,          0, [0] |          0,          0, [0]
         0,          0 |     458752,     983040, [1] |     131072,     393216, [1] |          0,          0, [0] |          0,          0, [0]
         0,          0 |    1048576,    1572864, [1] |     196608,     458752, [1] |          0,     131072, [1] |          0,          0, [0]
         0,          0 |    1114112,    1638400, [1] |     524288,     786432, [1] |      65536,     196608, [1] |          0,          0, [0]
         0,          0 |    1179648,    1703936, [1] |     589824,     851968, [1] |     262144,     393216, [1] |          0,      65536, [1]
         0,          0 |    1245184,    1769472, [1] |     655360,     917504, [1] |     327680,     458752, [1] |     131072,     196608, [1]
         0,          0 |    1310720,    1835008, [1] |     720896,     983040, [1] |     524288,     655360, [1] |     262144,     327680, [1]
         0,          0 |    1376256,    1900544, [1] |    1048576,    1310720, [1] |     589824,     720896, [1] |     393216,     458752, [1]
         0,          0 |    1441792,    1966080, [1] |    1114112,    1376256, [1] |     786432,     917504, [1] |     524288,     589824, [1]
         0,          0 |    1507328,    2031616, [1] |    1179648,    1441792, [1] |     851968,     983040, [1] |     655360,     720896, [1]
         0,          0 |          0,          0, [1] |    1245184,    1507328, [1] |    1048576,    1179648, [1] |     786432,     851968, [1]
         0,          0 |          0,          0, [1] |    1572864,    1835008, [1] |    1114112,    1245184, [1] |     917504,     983040, [1]
         0,          0 |          0,          0, [1] |    1638400,    1900544, [1] |    1310720,    1441792, [1] |    1048576,    1114112, [1]
         0,          0 |          0,          0, [1] |    1703936,    1966080, [1] |    1376256,    1507328, [1] |    1179648,    1245184, [1]
         0,          0 |          0,          0, [1] |    1769472,    2031616, [1] |    1572864,    1703936, [1] |    1310720,    1376256, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |    1638400,    1769472, [1] |    1441792,    1507328, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |    1835008,    1966080, [1] |    1572864,    1638400, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |    1900544,    2031616, [1] |    1703936,    1769472, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |    1835008,    1900544, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |    1966080,    2031616, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
         0,          0 |          0,          0, [1] |          0,          0, [1] |          0,          0, [1] |          0,          0, [1]
