         76,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        275,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        464,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        633,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        779,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        894,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        974,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       1017,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       1019,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        981,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        906,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        795,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        653,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        486,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        300,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        101,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -101,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -300,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -486,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -653,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -795,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -906,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -981,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
      -1019,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
      -1017,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -974,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -894,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -779,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -633,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -464,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -275,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -89,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -52,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
