        -14,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         44,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         29,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -77,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -92,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         50,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        143,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         25,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -136,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -99,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         70,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        115,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         -2,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -73,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -17,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         25,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -18,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -26,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         56,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         80,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -42,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -134,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -29,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        133,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        105,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -71,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
       -130,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         -4,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         91,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         35,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
        -37,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         -4,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
         16,           0, 1
          x,           x, 1
          x,           x, 1
          x,           x, 1
