   x,    x,    x,    x,x
    0,    4,    x,    0,0
    1,    5,    0,    0,0
    2,    6,    4,    1,1
    3,    7,    5,    2,1
    0,    0,    3,    6,0
    0,    0,    0,    7,0
    0,    0,    0,    0,1
    0,    0,    0,    0,1
    0,    0,    0,    0,0
    0,    0,    0,    0,0
    0,    0,    0,    0,1
    0,    0,    0,    0,1
    0,    0,    0,    0,0
    0,    0,    0,    0,0

    x,    x,    x,    x,x
    0,    4,    0,    0,0
    1,    5,    1,    0,0
    2,    6,    2,    4,1
    3,    7,    3,    5,1
    0,    0,    0,    6,0
    0,    0,    0,    7,0
    0,    0,    0,    0,1
    0,    0,    0,    0,1
    0,    0,    0,    0,0
    0,    0,    0,    0,0
    0,    0,    0,    0,1
    0,    0,    0,    0,1
    0,    0,    0,    0,0
    0,    0,    0,    0,0
